Name,sum_points
Córdoba,20
Huesca,67
Sporting Gijón,70
Almería,91
Deportivo La Coruña,142
Elche,144
Las Palmas,145
Real Valladolid,154
Cadice,158
Leganés,159
Maiorca,162
Malaga,164
Girona,218
Rayo Vallecano,248
Granada,255
Osasuna,263
Levante,284
Eibar,302
Alavés,306
Espanyol,354
Getafe,403
Celta Vigo,466
Betis,478
Valencia,536
Athletic Bilbao,547
Real Sociedad,568
Villarreal,590
Siviglia,624
Atlético Madrid,779
Real Madrid,849
Barcellona,862
