Name,sum_points
Pescara,18
Cesena,24
Brescia,25
Cremonese,27
Venezia,27
Carpi,38
Benevento,54
Salernitana,90
Frosinone,91
Crotone,92
Monza,97
SPAL,100
Spezia,106
Lecce,109
Palermo,114
Parma,129
Chievo,193
Empoli,278
Cagliari,309
Verona,315
Genoa,378
Sampdoria,400
Bologna,422
Udinese,423
Sassuolo,480
Torino,502
Fiorentina,553
Atalanta,631
Lazio,669
Milan,680
Roma,701
Inter,748
Napoli,762
Juventus,818
