Name,sum_points
Greuther Fürth,18
Norimberga,19
Heidenheim,42
Paderborn,51
Arminia Bielefeld,63
Bayern Monaco[12],71
Ingolstadt 04,72
Fortuna Düsseldorf,74
Darmstadt,80
Bochum,110
Hannover 96,122
Amburgo,145
Union Berlino,243
Schalke 04,325
Stoccarda,332
Colonia,344
Hertha Berlino,358
Werder Brema,361
Augusta,381
Friburgo,403
Magonza,409
Eintracht Francoforte,468
Hoffenheim,470
Wolfsburg,477
Borussia M'gladbach,504
RB Lipsia,506
Bayer Leverkusen,594
Borussia Dortmund,655
Bayern Monaco,720
