Salary,Cumulative Percentage
80000,0.04528646961146275
55000,0.0764209174693434
55000,0.10755536532722404
50000,0.13585940883438827
50000,0.1641634523415525
60000,0.19812830455014957
50000,0.2264323480573138
50000,0.254736391564478
50000,0.2830404350716422
60000,0.3170052872802393
60000,0.3509701394888364
60000,0.38493499169743345
65000,0.42173024825674693
60000,0.455695100465344
60000,0.4896599526739411
65000,0.5264552092332546
60000,0.5604200614418516
60000,0.5943849136504487
60000,0.6283497658590457
60000,0.6623146180676427
140000,0.7415659398877025
140000,0.8208172617077623
140000,0.900068583527822
140000,0.9793199053478818
140000,1.0585712271679417
140000,1.1378225489880016
140000,1.2170738708080615
140000,1.2963251926281214
140000,1.3755765144481813
140000,1.4548278362682412
140000,1.534079158088301
140000,1.613330479908361
140000,1.6925818017284209
140000,1.7718331235484808
140000,1.8510844453685407
150000,1.9359965758900333
140000,2.015247897710093
140000,2.0944992195301526
150000,2.1794113500516454
140000,2.258662671871705
150000,2.343574802393198
140000,2.4228261242132576
140000,2.5020774460333173
140000,2.581328767853377
140000,2.6605800896734366
140000,2.7398314114934963
150000,2.824743542014989
140000,2.903994863835049
140000,2.9832461856551085
150000,3.0681583161766013
140000,3.147409637996661
150000,3.232321768518154
140000,3.3115730903382135
140000,3.390824412158273
140000,3.470075733978333
140000,3.5493270557983925
150000,3.6342391863198853
140000,3.713490508139945
140000,3.7927418299600046
150000,3.8776539604814975
140000,3.956905282301557
150000,4.0418174128230495
140000,4.121068734643109
140000,4.200320056463169
140000,4.2795713782832285
140000,4.358822700103288
140000,4.438074021923348
140000,4.5173253437434076
140000,4.596576665563467
140000,4.675827987383527
140000,4.755079309203587
140000,4.834330631023646
150000,4.919242761545139
140000,4.998494083365198
140000,5.077745405185258
140000,5.156996727005318
140000,5.236248048825377
140000,5.315499370645437
140000,5.394750692465497
140000,5.474002014285556
140000,5.553253336105616
140000,5.632504657925676
140000,5.711755979745735
140000,5.791007301565795
140000,5.870258623385855
150000,5.955170753907347
182000,6.058197472273425
160000,6.14877041149635
160000,6.239343350719275
130000,6.312933863837902
160000,6.403506803060827
160000,6.494079742283752
160000,6.584652681506677
160000,6.675225620729602
160000,6.765798559952527
160000,6.856371499175452
160000,6.946944438398377
160000,7.0375173776213025
160000,7.128090316844228
160000,7.218663256067153
160000,7.309236195290078
160000,7.399809134513003
160000,7.490382073735928
160000,7.580955012958853
160000,7.671527952181778
160000,7.762100891404703
160000,7.852673830627628
95000,7.90645151329124
115000,7.971550813357718
95000,8.025328496021329
110000,8.08759739173709
95000,8.1413750744007
110000,8.203643970116461
95000,8.257421652780073
110000,8.319690548495833
110000,8.381959444211594
110000,8.444228339927355
95000,8.498006022590966
90000,8.548953300903861
95000,8.602730983567472
90000,8.653678261880367
90000,8.704625540193263
90000,8.755572818506158
90000,8.806520096819053
90000,8.857467375131948
90000,8.908414653444844
90000,8.959361931757739
90000,9.010309210070634
90000,9.06125648838353
90000,9.112203766696425
90000,9.16315104500932
90000,9.214098323322215
90000,9.26504560163511
90000,9.315992879948006
90000,9.3669401582609
90000,9.417887436573796
90000,9.468834714886691
90000,9.519781993199587
90000,9.570729271512482
90000,9.621676549825377
90000,9.672623828138272
75000,9.715079893399018
80000,9.760366363010482
75000,9.802822428271227
80000,9.84810889788269
75000,9.890564963143436
80000,9.9358514327549
75000,9.978307498015646
80000,10.023593967627109
75000,10.066050032887855
80000,10.111336502499318
75000,10.153792567760064
80000,10.199079037371527
75000,10.241535102632273
80000,10.286821572243737
73895,10.328652118142974
104702,10.387921917408717
82683,10.434727181994774
102859,10.492953694216842
73938,10.534808581593497
73895,10.576639127492735
104702,10.635908926758477
82683,10.682714191344534
102859,10.740940703566602
73938,10.782795590943257
90452,10.833998737809457
75656,10.876826152121017
71699,10.91741358442942
79767,10.96256815719814
89843,11.013426560814423
90944,11.064908219468734
70022,11.104546334157908
85825,11.153130224837955
68732,11.192038095204644
75969,11.235042692828559
76898,11.278573179580837
90000,11.329520457893732
70000,11.369146118803762
70000,11.408771779713792
80000,11.454058249325255
75000,11.496514314586001
80000,11.541800784197465
75000,11.58425684945821
80000,11.629543319069674
75000,11.67199938433042
80000,11.717285853941883
75000,11.759741919202629
80000,11.805028388814092
75000,11.847484454074838
80000,11.892770923686301
92438,11.945098307160606
77606,11.989029579168946
72389,12.030007607277748
80247,12.075433898864135
91062,12.126982355061124
91397,12.17872044834961
92438,12.231047831823915
77606,12.274979103832255
72389,12.315957131941056
80247,12.361383423527444
91062,12.412931879724432
91397,12.464669973012919
92438,12.516997356487224
77606,12.560928628495564
72389,12.601906656604365
80247,12.647332948190753
91062,12.698881404387741
82944,12.745834416080905
83577,12.79314575696487
79652,12.838235230433524
82697,12.885048420151763
80000,12.930334889763227
80000,12.97562135937469
75000,13.018077424635436
80000,13.0633638942469
75000,13.105819959507645
80000,13.151106429119109
75000,13.193562494379854
80000,13.238848963991318
75000,13.281305029252064
80000,13.326591498863527
75000,13.369047564124273
80000,13.414334033735736
75000,13.456790098996482
80000,13.502076568607945
80000,13.547363038219409
75000,13.589819103480155
80000,13.635105573091618
75000,13.677561638352364
80000,13.722848107963827
75000,13.765304173224573
80000,13.810590642836036
75000,13.853046708096782
80000,13.898333177708246
75000,13.940789242968991
80000,13.986075712580455
75000,14.0285317778412
80000,14.073818247452664
75000,14.11627431271341
80000,14.161560782324873
60000,14.19552563453347
75000,14.237981699794215
55000,14.269116147652095
65000,14.30591140421141
65000,14.342706660770723
70000,14.382332321680753
65000,14.419127578240067
70000,14.458753239150097
