Salary,Cumulative Percentage
579.0,0.00025531707059723376
30000.0,0.013484180832111935
52612.0,0.036684080172805646
52612.0,0.05988397951349936
52612.0,0.08308387885419308
52612.0,0.1062837781948868
52779.0,0.1295573182105196
52779.0,0.15283085822615242
52779.0,0.17610439824178523
52779.0,0.19937793825741804
55000.0,0.22363085515352832
55000.0,0.2478837720496386
55000.0,0.2721366889457489
55000.0,0.2963896058418592
55000.0,0.3206425227379695
55000.0,0.3448954396340798
55000.0,0.3691483565301901
55000.0,0.39340127342630044
55000.0,0.41765419032241075
55000.0,0.44190710721852106
55000.0,0.46616002411463137
55000.0,0.4904129410107417
55000.0,0.5146658579068519
55000.0,0.5389187748029622
55000.0,0.5631716916990726
55000.0,0.5874246085951829
55000.0,0.6116775254912932
55000.0,0.6359304423874035
55000.0,0.6601833592835138
55000.0,0.6844362761796241
55000.0,0.7086891930757344
55000.0,0.7329421099718447
55000.0,0.757195026867955
55000.0,0.7814479437640653
70000.0,0.8123152925409329
70000.0,0.8431826413178005
75000.0,0.8762548007215872
75000.0,0.909326960125374
80000.0,0.9446039301560798
80000.0,0.9798809001867856
80000.0,1.0151578702174915
80000.0,1.0504348402481973
80000.0,1.0857118102789032
90000.0,1.1253984015634473
90000.0,1.1650849928479914
90000.0,1.2047715841325355
90000.0,1.2444581754170796
90000.0,1.2841447667016237
95000.0,1.3260361686130868
95000.0,1.36792757052455
95000.0,1.409818972436013
95000.0,1.4517103743474762
95000.0,1.4936017762589393
95000.0,1.5354931781704024
95000.0,1.5773845800818656
95000.0,1.6192759819933287
95000.0,1.6611673839047918
95000.0,1.703058785816255
95000.0,1.744950187727718
95000.0,1.7868415896391812
95000.0,1.8287329915506443
95000.0,1.8706243934621074
95000.0,1.9125157953735705
95000.0,1.9544071972850336
95000.0,1.9962985991964968
95000.0,2.03819000110796
95000.0,2.0800814030194235
95000.0,2.121972804930887
98568.0,2.1654375597057194
98568.0,2.208902314480552
100000.0,2.252998527018934
100000.0,2.2970947395573162
100000.0,2.3411909520956984
100000.0,2.3852871646340805
100000.0,2.4293833771724627
100000.0,2.473479589710845
100000.0,2.517575802249227
100000.0,2.561672014787609
100000.0,2.6057682273259912
100000.0,2.6498644398643734
100000.0,2.6939606524027555
100000.0,2.7380568649411376
100000.0,2.78215307747952
100000.0,2.826249290017902
100000.0,2.870345502556284
100000.0,2.914441715094666
105000.0,2.9607427382599676
105000.0,3.007043761425269
105000.0,3.0533447845905703
105000.0,3.0996458077558717
105000.0,3.145946830921173
105000.0,3.1922478540864745
105000.0,3.238548877251776
105000.0,3.2848499004170773
105000.0,3.3311509235823786
105000.0,3.37745194674768
105000.0,3.4237529699129814
105000.0,3.4700539930782828
105000.0,3.516355016243584
105000.0,3.5626560394088855
105000.0,3.608957062574187
105000.0,3.6552580857394883
105000.0,3.7015591089047897
106132.0,3.7483593011960257
106662.0,3.795393203413715
106686.0,3.8424376887224136
106686.0,3.8894821740311123
106686.0,3.936526659339811
110000.0,3.9850324931320316
110000.0,4.033538326924252
110000.0,4.082044160716473
110000.0,4.130549994508693
110000.0,4.179055828300914
110000.0,4.227561662093135
110000.0,4.276067495885355
112000.0,4.325455253928343
115000.0,4.376165898347483
115000.0,4.426876542766623
115000.0,4.477587187185763
115000.0,4.5282978316049025
115000.0,4.579008476024042
115000.0,4.629719120443182
115000.0,4.680429764862322
115000.0,4.731140409281462
115000.0,4.781851053700602
115000.0,4.832561698119742
115000.0,4.8832723425388815
115000.0,4.933982986958021
115000.0,4.984693631377161
115000.0,5.035404275796301
115000.0,5.086114920215441
115000.0,5.136825564634581
115000.0,5.187536209053721
115000.0,5.238246853472861
115000.0,5.288957497892
115000.0,5.33966814231114
115000.0,5.39037878673028
119836.0,5.443221923987776
119836.0,5.496065061245273
120000.0,5.548980516291332
120000.0,5.601895971337391
120000.0,5.65481142638345
120000.0,5.707726881429509
120000.0,5.760642336475568
120000.0,5.813557791521627
120000.0,5.866473246567686
120000.0,5.919388701613745
120000.0,5.9723041566598045
120000.0,6.025219611705864
120000.0,6.078135066751923
120000.0,6.131050521797982
120000.0,6.183965976844041
120000.0,6.2368814318901
120000.0,6.289796886936159
120000.0,6.342712341982218
121450.0,6.396267192110083
121450.0,6.449822042237948
125000.0,6.504942307910927
125000.0,6.560062573583905
130000.0,6.617387649883802
130000.0,6.6747127261836985
130000.0,6.732037802483595
130000.0,6.789362878783492
130000.0,6.846687955083389
130000.0,6.904013031383285
130000.0,6.961338107683182
130000.0,7.018663183983079
130000.0,7.075988260282975
130000.0,7.133313336582872
130000.0,7.190638412882769
130000.0,7.247963489182665
130000.0,7.305288565482562
130000.0,7.362613641782459
130000.0,7.4199387180823555
130000.0,7.477263794382252
130000.0,7.534588870682149
130000.0,7.591913946982046
130000.0,7.649239023281942
135000.0,7.708768910208758
135000.0,7.768298797135574
135000.0,7.82782868406239
135000.0,7.887358570989206
135000.0,7.946888457916022
135000.0,8.006418344842839
135000.0,8.065948231769655
135000.0,8.12547811869647
135000.0,8.185008005623287
135000.0,8.244537892550102
135000.0,8.304067779476918
135000.0,8.363597666403734
135000.0,8.42312755333055
135000.0,8.482657440257366
135000.0,8.542187327184182
135000.0,8.601717214110998
135000.0,8.661247101037814
135000.0,8.72077698796463
135000.0,8.780306874891446
135000.0,8.839836761818262
135000.0,8.899366648745078
135000.0,8.958896535671894
138000.0,9.01974930897486
138662.0,9.080893999204832
138662.0,9.142038689434804
140000.0,9.203773386988539
140000.0,9.265508084542274
140000.0,9.32724278209601
140000.0,9.388977479649744
