League,Gini Index
Serie A TIM,0.788667849321834
LALIGA EA SPORTS,0.751787637418651
Bundesliga,0.7172648583082228
Premier League,0.8433151427414554
Ligue 1 Uber Eats,0.759835349121063
Roshn Saudi League,0.7486296355785345
